,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
122,경상북도 경주시,0.33,-0.033077366,-0.21837928,0.305719215,0.005457726,-0.073576276,0.694605745,1.013034785,-0.208052947,0.469260293,0.450354715,0.471817938,0.835766362,0.702729169,0.570310061,0.755798391,-0.15140874,0.639577,0.673279414,0.611868168,0.645306948
123,경상북도 김천시,0.34,-0.133965561,0.167982659,0.943571787,0.555030254,-0.193413423,-0.727765316,1.633027287,-0.379762467,1.604692444,1.651554182,-0.289120031,-0.430016839,0.839080701,-0.102743582,-0.160102063,0.465581877,1.596904867,1.677634761,0.214751921,0.477573824
124,경상북도 안동시,0.32,-0.150022842,-0.060862489,0.305719215,0.022958238,1.521179609,-0.301053997,1.42636312,0.364312122,-0.057892305,-0.104891435,-0.121455733,0.361097662,0.68119998,-0.00945361,-0.204993118,1.082572495,0.002660909,0.041958982,0.582701438,0.630988266
125,경상북도 구미시,1.02,-0.192438299,0.527596463,0.225987644,0.781596022,-0.645107287,-0.158816891,0.186378114,0.707731163,0.102117668,-0.059365927,1.155372385,0.677543462,1.248135294,1.53764883,1.924430239,1.082572495,-0.192712125,-0.217121432,0.721804304,1.410333632
126,경상북도 영주시,0.24,-0.108516287,0.170954674,1.342229644,0.706042736,0.617791882,-0.158816891,0.599706449,-0.06496168,1.575348652,1.481142991,-0.392298061,-0.271793939,-0.120164281,-0.338165581,-0.466438764,-0.15140874,1.413254215,1.553857575,0.232700678,0.592123274
127,경상북도 영천시,0.23,0.094169007,-0.274847563,0.943571787,1.528190442,0.350462861,-0.58552821,0.806370617,-0.694563255,1.230645398,1.2389019,-0.392298061,-0.271793939,0.183636499,-0.336096674,-0.250354236,-0.15140874,1.069397675,1.122681448,-0.3596083,0.011193921
130,경상북도 경산시,0.58,-0.211525255,0.961510639,0.863840215,0.415872958,-0.211849908,0.125657321,0.186378114,-0.465617228,0.475992104,0.612376009,0.510509699,0.677543462,1.121352291,0.680883639,0.671982471,-0.15140874,0.737263517,0.7624217,0.676932412,1.203735516
133,경상북도 영양군,0.12,0.084171078,-1.353688975,-0.252401784,-0.230799185,-1.27194775,-0.58552821,-0.433614388,-0.265289454,0.2139693,0.202612052,-0.921085463,-0.90468554,-1.758774786,-0.855251768,-0.864871733,-0.768399358,0.147236954,0.075912541,-1.279482091,-1.486131033
134,경상북도 영덕군,0.13,-0.130329951,-1.34477293,0.704377072,0.230423984,-0.645107287,-0.58552821,0.186378114,-0.637326748,1.007459966,1.019733027,-0.676037643,-0.588239739,-1.828146618,-0.741565676,-0.790059335,-0.768399358,0.975618618,0.89761137,-1.553200634,-0.684284883
135,경상북도 청도군,0.12,0.102349131,0.060990122,-0.01320707,-0.050242828,1.226195862,-0.443291104,0.186378114,-0.751799762,0.39538298,0.308517313,-0.740523911,-0.113571039,-0.660786141,-0.699064605,-0.765652197,-0.768399358,0.135514572,0.184927311,-0.918263359,-0.858154584
